"Road/street","Situated at","Using the grit","Location"
"Kingsway & Broadhill Road, Burnage ","Kingsway near Broadhill Road ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.431960880843576,-2.207307815551758"
"Kingsway & Green End Road, Burnage","Kingsway near Green End Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42731364770589,-2.210145592689514"
"Kingsway & Wilmslow Road, Didsbury","Kingsway & Wilmslow Road on footbridge over Kingsway near  the Gateway Hotel","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.408384295677955,-2.2207260127470363"
"Kirkmanshulme Lane, Longsight","Kirkmanshulme Lane corner of New Bank Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45952380141225,-2.201208472251892"
"Knutsford Road, Gorton","Knutsford Road near Haworth Road near  Sunnybrow Park","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.459750569384106,-2.1756939589977264"
"Lapwing Lane, Withington","Lapwing Lane near Palatine Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42514737548151,-2.2365081309180823"
"Leaton Avenue, Baguley","Leaton Avenue near Floatshall Road at bottom of footbridge","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.39763480913509,-2.2868219017982483"
"Levedale Road, Higher Blackley","Levedale Road near Rochdale Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52913571359888,-2.2107410430908203"
"Little Peter Street, Castlefield","Little Peter Street at entrance to car parks","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47361076592966,-2.249028682599601"
"Lordsmead Street, Hulme","Lordsmead Street near Ledbury Close outside number 36","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.46882912973384,-2.259013652583235"
"Lytham Road, Fallowfield","Lytham Road near  Birchfields Primary School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4452285874176,-2.2048401832580566"
"Mariman Drive, Crumpsall","Mariman Drive between numbers 38 and 40","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.522553756693114,-2.236361503601074"
"Mawdsley Drive, Crumpsall","Mawdsley Drive at entrance to the Northwards estate ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51197254211544,-2.224906682749861"
"Melverley Road, Blackley","Melverley Road outside number 80","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.534517871585926,-2.2368335723876953"
"Mersey Bank Avenue, Chorlton Park","Mersey Bank Avenue near  to shopping parade","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42283575710954,-2.262804507772671"
"Middleton Old Road, Blackley","Middleton Old Road near Old Market Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.522587455633825,-2.2160553930007154"
"Middleton Road, Blackley","Middleton Road near Windle Avenue","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.527621964681785,-2.2471457718711463"
"Mill Lane, Manchester Airport","Mill Lane at bottom of hill on right side of carriageway in verge at bridge approaching from A538","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.3508210957432,-2.3033657670021057"
"Mill Lane, Manchester Airport","Mill Lane at top of hill right on side of carriageway in verge approaching from A538","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.349987742417376,-2.2982025146484375"
"Monica Grove, Levenshulme","Monica Grove near Slade Lane opposite number 37","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44260631765081,-2.199391722569999"
"Monton Street, Moss Side","Monton Street near St. Bees Close ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.459045135922835,-2.237935065786587"
"Moseley Road, Ladybarn","Moseley Road corner of Kingsway under railway bridge","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44194400162176,-2.2043681144714355"
"Mount Road, Levenshulme","Mount Road corner of Barlow Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44551155682196,-2.1809935567580396"
"Munn Road, Blackley","Munn Road near Acre Top Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.5340596601641,-2.2303390501838294"
"Nell Lane, Chorlton","Nell Lane near Mauldeth Road near  shops","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43441533537734,-2.2647929191589355"
"Newcliffe Road, Higher Blackley","Newcliffe Road near Victoria Avenue East","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.53090858526298,-2.2017288208007812"
"North Road, Clayton","North Road near Clayton Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4843492963975,-2.1825778484344482"
"Northmoor Road, Longsight","Northmoor Road near  Northmoor Community Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45637128176698,-2.1932315826416016"
"Old Church Street, Newton Heath","Old Church Street near  parade of shops","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.501091516583394,-2.180957794189453"
"Old Hall Lane, Fallowfield","Old Hall Lane at path between The Toast Rack and Manchester Grammar school","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44687078508814,-2.2157299518585205"
"Oswald Road, Chorlton","Oswald Road near  the junction with Claridge Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44639975130253,-2.2800421712599928"
"Parkhouse Street, Openshaw","Parkhouse Street near Wood Street near  St. Barnabas School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47513964117176,-2.1856427188322414"
"Parkville Road, Withington","Parkville Road near Parrs Wood Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42449799965002,-2.2177433963224757"
"Parrs Wood Road, East Didsbury","Parrs Wood Road near Mellington Avenue","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4064272158926,-2.226154803793179"
"Peacock Centre, Gorton","Peacock Centre near Burston Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.46654027179488,-2.176816463470459"
"PJs Church, Abbey Hey","PJs Church near Rainbow Heaven near Abbey Hey Lane ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.469507737532965,-2.157887220273551"
"Platt Lane, Fallowfield","Platt Lane near  library & Fallowfield Triangle","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44645086984416,-2.239058017512434"
"Portrush Road, Wythenshawe","Portrush Road near Simonsway","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.375715713918765,-2.254348397254944"
"Portway, Wythenshawe","Portway  near  Treganna GP/Dental Surgery at number 399","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.3709903202999,-2.2568535804748535"
"Portway, Wythenshawe","Portway next to Mountain Ash pub","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.37642477104253,-2.2795271871291334"
"Princess Street, city centre","Princess Street near Portland Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47751955588958,-2.24016308762657"
"Raby Street, Moss Side","Raby Street near Brentwood Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45781272879177,-2.2496616839271155"
"Raby Street, Moss Side","Raby Street near Moss Lane East","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.457880708791926,-2.2411501405440504"
"Richmond Grove, Rusholme","Richmond Grove near Richmond Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45979890370535,-2.212464808981167"
"Riverdale Road, Blackley","Riverdale Road near Sandyhill Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.525522779577315,-2.2365331649780273"
"Romsey Gardens, Baguley","Romsey Gardens near Bowland Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.39354256576925,-2.2869300833554007"
"Rosslare Road, Wythenshawe","Rosslare Road near Clifden Drive","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.37891901818406,-2.2554373741149902"
"Roundwood Road, Sharston","Roundwood Road outside School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.39948077454042,-2.262804507772671"
"Royle Court, ladybarn","Royle Court near Royle Street ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43779818079573,-2.215164899607771"
"Royle Street, Ladybarn","Royle St near  Ladybarn Community Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43791140995685,-2.2141313552856445"
"Ruddpark Road, Wythenshawe","Ruddpark Road near  Portway near  Ruddpark parade shops","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.3738087640098,-2.2604012484953273"
"Russell Road, Whalley Range","Russell Road near Dudley Road near  to Tangmere Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45170297212177,-2.261760234614485"
"Russett Road, Blackley","Russett Road near Wilson Road opposite number 25","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51665336211368,-2.2149789333343506"
"Ryder Brow Road, Gorton","Ryder Brow Road near Levenshulme Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45690949444475,-2.173047959804535"
"Rylance Street, Ardwick","Rylance Street near Myrtle Strret near  the Ashbury Meadow School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47773665007862,-2.2060453889571363"
"Sandyhill Road, Blackley","Sandyhill Road - at top of steps outside of number 109","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.524908528877155,-2.2343838213782874"
"Selkirk Drive, Blackley","Selkirk Drive near Grange Park Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.525002976420225,-2.198638916015625"
"Seymour Road South, Crumpsall","Seymour Road South near  the School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.514828644978515,-2.2462606425688136"
"Shady Lane, Wythenshawe","Shady Lane bridge - near  the top of the bridge on the right side of the carriageway approaching from Altrincham Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.39890553156675,-2.306326031575736"
"Shawford Road, Moston","Shawford Road near Moston Lane","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.521279659970666,-2.182188928127289"
"Shelley Street, Moston","Shelley Street outside number 17","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51057350152625,-2.181183099746704"
"Sheringham Road, Withington","Sheringham near  Mayes Court","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.43597486304572,-2.218508720397949"
"Southdene Avenue, West Didsbury","Southdene Avenue at the end of the cul de sac ","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.42030209747121,-2.2561275956832105"
"Springbridge Road, Whalley Range","Springbridge Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4461048598585,-2.24899291904876"
"Stamford Road, Longsight","Stamford Road near Hamilton Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.454675574329926,-2.201027869741665"
"Store Street, city centre","Store Street near Jutland Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47905095081541,-2.228706479072571"
"Stubbins Close, Wythenshawe","Stubbins Close near Tunshill Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.40718879293153,-2.2998565434318152"
"The Fairway, Moston","The Fairway","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.511992000892356,-2.175736426434014"
"The Links, Moston","The Links near The Fairway near  to Williams Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.508344000640435,-2.1801924701139797"
"Thomas Street, city centre","Thomas Street near High Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4850661196365,-2.238188981791609"
"Trenchard Drive, Manchester Airport","Trenchard Drive before Styal Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.36648206541902,-2.242262363433838"
"Vicars Road, Chorlton","Vicars Road near St Clements Road outside school","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44014275005595,-2.2830015419822303"
"Victoria Street, city centre","Victoria Street outside cathedral","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.48544256144629,-2.244979441165924"
"Walmer Street, Rusholme","Walmer Street near  the Health Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.45494389370056,-2.2261333461210597"
"Warnford Close, Newton Heath","Warnford Close - At top of hill","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.493788059732495,-2.171845435987052"
"Warrington Road, Blackley","Warrington Road near Wavertree Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.532069202053606,-2.227306365966797"
"Wenlock Way, Gorton","Wenlock Way near Medical Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.46828563955733,-2.200487851878279"
"Westmere Drive, Harpurhey","Westmere Drive","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.50494034578738,-2.224556207547721"
"Whernside Avenue, Moston","Whernside Avenue at the top end of the hill outside number 50","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51852244088728,-2.193617820739746"
"Whitchurch Road, Withington","Whitchurch Road near  Borchardt Medical Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.434163770934376,-2.238010167966422"
"White Moss Road, Higher Blackley","White Moss Road near Haverfield Road - junction 2","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.527551359315545,-2.2072443365505023"
"White Moss Road, Higher Blackley","White Moss Road near Haverfield Road","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.52637786313972,-2.2110906242778583"
"Whitley Road, Collyhurst","Whitley Road outside Doctors Surgery","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.49486352955823,-2.2229254244666663"
"Whitworth St, City centre","Whitworth St near Albion Street","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.47422550752266,-2.2481395303930185"
"Williams Road, Newton Heath","Williams Road at Broadhurst School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.50819544112099,-2.180285453578108"
"Wilmslow Road, Fallowfield","Wilmslow Rd near Fallowfield District Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.442597936939706,-2.218498885617919"
"Withington Adult Learning Centre, Withington","Withington Adult Learning Centre","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.433109133627354,-2.23207175720745"
"Withington Library, Withington","Withington Library","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.4354560121868,-2.2269397973468585"
"Woodfold Avenue, Levenshulme","Woodfold Avenue near Belvoir Avenue","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.44796227359054,-2.19307154411581"
"Woodlands Road, Crumpsall","Woodlands Road outside Jamia Mosque","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.51024353935024,-2.24315643288719"
"Yarmouth Drive, Northenden","Yarmouth Drive outside Rackhouse Primary School","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.409958048769276,-2.2788548468452063"
"Yew Tree Lane, Northenden","At footbrige adjacent to house number 3","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.41124577662313,-2.268247604370117"
"Yew Tree Road, Fallowfield","Yew Tree Rd near Bethnall estate","This grit is for use on the road and/ or pavements - it is not for use on private land. Taking grit for personal use is illegal and liable to prosecution.","53.442539218480285,-2.2317284344535437"
